fdr,tpr,fpr,shd,nnz,range_idx,w_range_1_low,w_range_1_high,w_range_2_low,w_range_2_high,bootstrap
0.2559820491399439,0.745,0.03294117647058824,10.0,20.5,0,-0.1,-1.0,0.1,1.0,True
0.19546439495230847,0.8699999999999999,0.02823529411764706,6.7,22.2,1,-0.2,-1.1,0.2,1.1,True
0.18065257524067593,0.9649999999999999,0.027058823529411767,5.1,23.9,2,-0.30000000000000004,-1.2,0.30000000000000004,1.2,True
0.18816135555265986,0.975,0.027647058823529413,4.9,24.2,3,-0.4,-1.3,0.4,1.3,True
0.17523035740427043,0.99,0.025882352941176474,4.5,24.2,4,-0.5,-1.4,0.5,1.4,True
0.17347489869229,1.0,0.025882352941176467,4.3,24.4,5,-0.6,-1.5,0.6,1.5,True
0.17813328378545767,1.0,0.026470588235294117,4.5,24.5,6,-0.7000000000000001,-1.6,0.7000000000000001,1.6,True
0.15816843382060772,1.0,0.022941176470588236,3.9,23.9,7,-0.8,-1.7000000000000002,0.8,1.7000000000000002,True
0.17441400179031366,1.0,0.025882352941176474,4.2,24.4,8,-0.9,-1.8,0.9,1.8,True
0.17725911769390032,1.0,0.026470588235294117,4.4,24.5,9,-1.0,-1.9,1.0,1.9,True
