seed,range_idx,fdr,tpr,fpr,shd,nnz
0,4,0.13636363636363635,0.95,0.01764705882352941,4,22
1,4,0.25925925925925924,1.0,0.041176470588235294,7,27
2,4,0.3870967741935484,0.95,0.07058823529411765,12,31
3,4,0.16666666666666666,1.0,0.023529411764705882,4,24
4,4,0.3448275862068966,0.95,0.058823529411764705,11,29
5,4,0.2,1.0,0.029411764705882353,5,25
6,4,0.2692307692307692,0.95,0.041176470588235294,7,26
7,4,0.25925925925925924,1.0,0.041176470588235294,7,27
8,4,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,4,0.4,0.9,0.07058823529411765,13,30
