seed,range_idx,fdr,tpr,fpr,shd,nnz
0,3,0.13636363636363635,0.95,0.01764705882352941,4,22
1,3,0.25925925925925924,1.0,0.041176470588235294,7,27
2,3,0.40625,0.95,0.07647058823529412,13,32
3,3,0.24,0.95,0.03529411764705882,6,25
4,3,0.3448275862068966,0.95,0.058823529411764705,11,29
5,3,0.2857142857142857,1.0,0.047058823529411764,8,28
6,3,0.2692307692307692,0.95,0.041176470588235294,7,26
7,3,0.3448275862068966,0.95,0.058823529411764705,10,29
8,3,0.17391304347826086,0.95,0.023529411764705882,4,23
9,3,0.3793103448275862,0.9,0.06470588235294118,12,29
