seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,7,20,0.13043478260869565,1.0,0.01764705882352941,3,23
1,7,20,0.16666666666666666,1.0,0.023529411764705882,4,24
2,7,20,0.25925925925925924,1.0,0.041176470588235294,7,27
3,7,20,0.13043478260869565,1.0,0.01764705882352941,3,23
4,7,20,0.25925925925925924,1.0,0.041176470588235294,7,27
5,7,20,0.16666666666666666,1.0,0.023529411764705882,4,24
6,7,20,0.09090909090909091,1.0,0.011764705882352941,2,22
7,7,20,0.2,1.0,0.029411764705882353,5,25
8,7,20,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,7,20,0.13043478260869565,1.0,0.01764705882352941,3,23
