seed,range_idx,fdr,tpr,fpr,shd,nnz
0,9,0.2,1.0,0.029411764705882353,5,25
1,9,0.25925925925925924,1.0,0.041176470588235294,7,27
2,9,0.2857142857142857,1.0,0.047058823529411764,8,28
3,9,0.16666666666666666,1.0,0.023529411764705882,4,24
4,9,0.3333333333333333,1.0,0.058823529411764705,10,30
5,9,0.2,1.0,0.029411764705882353,5,25
6,9,0.09090909090909091,1.0,0.011764705882352941,2,22
7,9,0.2857142857142857,1.0,0.047058823529411764,8,28
8,9,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,9,0.2,1.0,0.029411764705882353,5,25
