seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,3,20,0.09523809523809523,0.95,0.011764705882352941,3,21
1,3,20,0.2962962962962963,0.95,0.047058823529411764,8,27
2,3,20,0.25925925925925924,1.0,0.041176470588235294,7,27
3,3,20,0.13043478260869565,1.0,0.01764705882352941,3,23
4,3,20,0.2692307692307692,0.95,0.041176470588235294,8,26
5,3,20,0.13043478260869565,1.0,0.01764705882352941,2,23
6,3,20,0.16666666666666666,1.0,0.023529411764705882,4,24
7,3,20,0.2692307692307692,0.95,0.041176470588235294,8,26
8,3,20,0.09090909090909091,1.0,0.011764705882352941,2,22
9,3,20,0.17391304347826086,0.95,0.023529411764705882,4,23
