seed,range_idx,fdr,tpr,fpr,shd,nnz
0,8,0.2,1.0,0.029411764705882353,5,25
1,8,0.2857142857142857,1.0,0.047058823529411764,8,28
2,8,0.2857142857142857,1.0,0.047058823529411764,8,28
3,8,0.13043478260869565,1.0,0.01764705882352941,3,23
4,8,0.3333333333333333,1.0,0.058823529411764705,10,30
5,8,0.2,1.0,0.029411764705882353,5,25
6,8,0.17391304347826086,0.95,0.023529411764705882,4,23
7,8,0.2857142857142857,1.0,0.047058823529411764,8,28
8,8,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,8,0.2,1.0,0.029411764705882353,5,25
