seed,range_idx,fdr,tpr,fpr,shd,nnz
0,2,0.13636363636363635,0.95,0.01764705882352941,4,22
1,2,0.4,0.9,0.07058823529411765,13,30
2,2,0.4,0.9,0.07058823529411765,12,30
3,2,0.20833333333333334,0.95,0.029411764705882353,5,24
4,2,0.36666666666666664,0.95,0.06470588235294118,12,30
5,2,0.3103448275862069,1.0,0.052941176470588235,9,29
6,2,0.3076923076923077,0.9,0.047058823529411764,8,26
7,2,0.3870967741935484,0.95,0.07058823529411765,12,31
8,2,0.17391304347826086,0.95,0.023529411764705882,4,23
9,2,0.32142857142857145,0.95,0.052941176470588235,9,28
