seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,1,20,0.11764705882352941,0.75,0.011764705882352941,7,17
1,1,20,0.41935483870967744,0.9,0.07647058823529412,13,31
2,1,20,0.2608695652173913,0.85,0.03529411764705882,8,23
3,1,20,0.0,0.85,0.0,3,17
4,1,20,0.32,0.85,0.047058823529411764,10,25
5,1,20,0.09523809523809523,0.95,0.011764705882352941,3,21
6,1,20,0.15,0.85,0.01764705882352941,6,20
7,1,20,0.2962962962962963,0.95,0.047058823529411764,9,27
8,1,20,0.09523809523809523,0.95,0.011764705882352941,2,21
9,1,20,0.2,0.8,0.023529411764705882,6,20
