seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,4,20,0.09523809523809523,0.95,0.011764705882352941,3,21
1,4,20,0.2857142857142857,1.0,0.047058823529411764,8,28
2,4,20,0.25925925925925924,1.0,0.041176470588235294,7,27
3,4,20,0.13043478260869565,1.0,0.01764705882352941,3,23
4,4,20,0.17391304347826086,0.95,0.023529411764705882,5,23
5,4,20,0.16666666666666666,1.0,0.023529411764705882,3,24
6,4,20,0.2,1.0,0.029411764705882353,5,25
7,4,20,0.25925925925925924,1.0,0.041176470588235294,7,27
8,4,20,0.09090909090909091,1.0,0.011764705882352941,2,22
9,4,20,0.09090909090909091,1.0,0.011764705882352941,2,22
