seed,range_idx,fdr,tpr,fpr,shd,nnz
0,5,0.2,1.0,0.029411764705882353,5,25
1,5,0.23076923076923078,1.0,0.03529411764705882,6,26
2,5,0.3870967741935484,0.95,0.07058823529411765,12,31
3,5,0.13043478260869565,1.0,0.01764705882352941,3,23
4,5,0.3448275862068966,0.95,0.058823529411764705,11,29
5,5,0.2,1.0,0.029411764705882353,5,25
6,5,0.24,0.95,0.03529411764705882,6,25
7,5,0.25925925925925924,1.0,0.041176470588235294,7,27
8,5,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,5,0.25925925925925924,1.0,0.041176470588235294,7,27
