seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,9,20,0.13043478260869565,1.0,0.01764705882352941,3,23
1,9,20,0.2,1.0,0.029411764705882353,5,25
2,9,20,0.23076923076923078,1.0,0.03529411764705882,6,26
3,9,20,0.16666666666666666,1.0,0.023529411764705882,4,24
4,9,20,0.3333333333333333,1.0,0.058823529411764705,9,30
5,9,20,0.16666666666666666,1.0,0.023529411764705882,4,24
6,9,20,0.13043478260869565,1.0,0.01764705882352941,3,23
7,9,20,0.2,1.0,0.029411764705882353,5,25
8,9,20,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,9,20,0.16666666666666666,1.0,0.023529411764705882,4,24
