seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,5,20,0.13043478260869565,1.0,0.01764705882352941,3,23
1,5,20,0.2857142857142857,1.0,0.047058823529411764,8,28
2,5,20,0.25925925925925924,1.0,0.041176470588235294,7,27
3,5,20,0.16666666666666666,1.0,0.023529411764705882,4,24
4,5,20,0.16666666666666666,1.0,0.023529411764705882,4,24
5,5,20,0.2,1.0,0.029411764705882353,4,25
6,5,20,0.2,1.0,0.029411764705882353,5,25
7,5,20,0.23076923076923078,1.0,0.03529411764705882,6,26
8,5,20,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,5,20,0.047619047619047616,1.0,0.0058823529411764705,1,21
