seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,8,20,0.13043478260869565,1.0,0.01764705882352941,3,23
1,8,20,0.23076923076923078,1.0,0.03529411764705882,5,26
2,8,20,0.23076923076923078,1.0,0.03529411764705882,6,26
3,8,20,0.13043478260869565,1.0,0.01764705882352941,3,23
4,8,20,0.3103448275862069,1.0,0.052941176470588235,8,29
5,8,20,0.16666666666666666,1.0,0.023529411764705882,4,24
6,8,20,0.13043478260869565,1.0,0.01764705882352941,3,23
7,8,20,0.2,1.0,0.029411764705882353,5,25
8,8,20,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,8,20,0.16666666666666666,1.0,0.023529411764705882,4,24
