fdr,tpr,fpr,shd,nnz,range_idx,w_range_1_low,w_range_1_high,w_range_2_low,w_range_2_high,bootstrap
0.25,0.75,0.029411764705882353,10.0,20.0,0,-0.1,-1.0,0.1,1.0,False
0.21052631578947367,0.75,0.023529411764705882,9.0,19.0,1,-0.2,-1.1,0.2,1.1,False
0.13636363636363635,0.95,0.01764705882352941,4.0,22.0,2,-0.30000000000000004,-1.2,0.30000000000000004,1.2,False
0.13636363636363635,0.95,0.01764705882352941,4.0,22.0,3,-0.4,-1.3,0.4,1.3,False
0.13636363636363635,0.95,0.01764705882352941,4.0,22.0,4,-0.5,-1.4,0.5,1.4,False
0.2,1.0,0.029411764705882353,5.0,25.0,5,-0.6,-1.5,0.6,1.5,False
0.23076923076923078,1.0,0.03529411764705882,6.0,26.0,6,-0.7000000000000001,-1.6,0.7000000000000001,1.6,False
0.2,1.0,0.029411764705882353,5.0,25.0,7,-0.8,-1.7000000000000002,0.8,1.7000000000000002,False
0.2,1.0,0.029411764705882353,5.0,25.0,8,-0.9,-1.8,0.9,1.8,False
0.2,1.0,0.029411764705882353,5.0,25.0,9,-1.0,-1.9,1.0,1.9,False
